id_book,page,start_time,duration,total_pages
1,1,1783871366,14,8
1,8,1783871389,24,8
2,1,1783874673,13,199
2,4,1783874696,27,235
2,5,1783874723,11,235
2,6,1783874734,29,235
2,7,1783874763,8,235
2,8,1783874771,120,235
2,9,1783875031,26,235
2,10,1783875057,19,235
2,11,1783875076,29,235
2,12,1783875105,22,235
2,14,1783875131,17,235
2,15,1783875148,55,235
2,16,1783875203,16,235
2,17,1783875219,45,235
2,18,1783875264,6,235
2,42,1783875305,23,235
2,50,1783875338,19,235
2,61,1783875377,41,235
2,62,1783875418,5,235
2,54,1783875440,14,235
2,80,1783875514,10,246
2,56,1783875454,13,246
2,77,1783875498,5,246
2,78,1783875503,10,246
2,81,1783875527,5,246
2,80,1783875532,99,246
2,79,1783875637,30,246
3,1,1783875681,15,252
3,4,1783875702,19,252
3,5,1783875721,9,252
3,7,1783875733,9,252
3,11,1783875750,51,252
3,12,1783875801,120,252
3,13,1783875931,62,252
3,14,1783875993,28,252
3,15,1783876021,8,252
3,16,1783876029,35,252
3,17,1783876064,34,252
3,18,1783876098,63,252
4,6,1783876184,9,212
4,7,1783876193,55,212
4,8,1783876248,70,212
4,9,1783876318,53,212
4,10,1783876371,33,212
4,11,1783876404,53,212
4,12,1783876457,22,212
4,14,1783876482,5,212
5,1,1783876502,12,212
5,2,1783876514,16,212
5,4,1783876533,13,212
5,7,1783876548,7,212
5,8,1783876559,29,212
5,9,1783876588,49,212
5,10,1783876637,37,212
5,11,1783876674,9,212
5,14,1783906511,39,212
5,13,1783906401,110,212
5,15,1783906550,119,212
5,12,1783906246,120,212
4,14,1783906679,8,212
5,15,1783906693,7,212
5,15,1783906703,31,212
5,16,1783906734,9,212
5,17,1783906743,22,212
5,18,1783906765,29,212
5,19,1783906794,31,212
5,20,1783906825,20,212
5,21,1783906845,61,212
5,22,1783906906,28,212
5,22,1783906939,28,212
5,23,1783906934,5,212
5,23,1783906967,33,212
5,24,1783907000,45,212
5,25,1783907045,24,212
5,26,1783907069,44,212
5,27,1783907113,23,212
5,28,1783907136,34,212
5,29,1783907170,38,212
5,30,1783907208,11,212
5,31,1783907219,51,212
5,32,1783907270,18,212
5,33,1783907288,28,212
5,34,1783907316,42,212
5,35,1783907358,24,212
5,36,1783907382,40,212
5,37,1783907422,46,212
5,45,1783912315,68,212
5,43,1783912212,59,212
5,39,1783911542,120,212
5,46,1783912383,55,212
5,41,1783912066,52,212
5,44,1783912271,44,212
5,42,1783912118,94,212
5,40,1783911687,120,212
