id_book,page,start_time,duration
1,1,1783871366,14
1,8,1783871389,24
2,1,1783874673,13
2,4,1783874696,27
2,5,1783874723,11
2,6,1783874734,29
2,7,1783874763,8
2,8,1783874771,120
2,9,1783875031,26
2,10,1783875057,19
2,11,1783875076,29
2,12,1783875105,22
2,14,1783875131,17
2,15,1783875148,55
2,16,1783875203,16
2,17,1783875219,45
2,18,1783875264,6
2,43,1783875305,23
2,52,1783875338,19
2,63,1783875377,41
2,64,1783875418,5
2,56,1783875440,14
2,80,1783875514,10
2,56,1783875454,13
2,77,1783875498,5
2,78,1783875503,10
2,81,1783875527,5
2,80,1783875532,99
2,79,1783875637,30
3,1,1783875681,15
3,4,1783875702,19
3,5,1783875721,9
3,7,1783875733,9
3,11,1783875750,51
3,12,1783875801,120
3,13,1783875931,62
3,14,1783875993,28
3,15,1783876021,8
3,16,1783876029,35
3,17,1783876064,34
3,18,1783876098,63
4,6,1783876184,9
4,7,1783876193,55
4,8,1783876248,70
4,9,1783876318,53
4,10,1783876371,33
4,11,1783876404,53
4,12,1783876457,22
4,14,1783876482,5
5,1,1783876502,12
5,2,1783876514,16
5,4,1783876533,13
5,7,1783876548,7
5,8,1783876559,29
5,9,1783876588,49
5,10,1783876637,37
5,11,1783876674,9
5,14,1783906511,39
5,13,1783906401,110
5,15,1783906550,119
5,12,1783906246,120
4,14,1783906679,8
5,15,1783906693,7
5,15,1783906703,31
5,16,1783906734,9
5,17,1783906743,22
5,18,1783906765,29
5,19,1783906794,31
5,20,1783906825,20
5,21,1783906845,61
5,22,1783906906,28
5,22,1783906939,28
5,23,1783906934,5
5,23,1783906967,33
5,24,1783907000,45
5,25,1783907045,24
5,26,1783907069,44
5,27,1783907113,23
5,28,1783907136,34
5,29,1783907170,38
5,30,1783907208,11
5,31,1783907219,51
5,32,1783907270,18
5,33,1783907288,28
5,34,1783907316,42
5,35,1783907358,24
5,36,1783907382,40
5,37,1783907422,46
5,45,1783912315,68
5,43,1783912212,59
5,39,1783911542,120
5,46,1783912383,55
5,41,1783912066,52
5,44,1783912271,44
5,42,1783912118,94
5,40,1783911687,120
5,38,1783911470,72
5,50,1783912577,33
5,50,1783912625,120
5,48,1783912468,30
5,47,1783912438,30
5,51,1783912610,15
5,49,1783912498,79
5,51,1783912951,120
6,1,1783913114,66
6,2,1783913180,92
6,3,1783913272,17
6,4,1783913289,77
6,5,1783913366,91
6,6,1783913457,120
6,7,1783913589,120
6,8,1783913725,70
6,9,1783913795,106
6,10,1783913901,77
6,11,1783913978,27
6,13,1783914007,120
6,14,1783914174,62
6,15,1783914236,53
6,16,1783914289,120
6,16,1783914469,24
6,18,1783914495,89
6,19,1783914584,120
6,20,1783914773,89
6,21,1783914862,120
6,22,1783915149,5
6,22,1783915169,12
6,21,1783915089,60
6,21,1783915154,15
6,23,1783915181,21
6,25,1783915212,120
6,24,1783915202,10
6,26,1783915493,120
6,32,1783916421,8
6,33,1783916429,16
6,34,1783916445,6
6,36,1783916453,15
6,37,1783916468,60
6,38,1783916528,16
